Starting price: $10.00
Day 1, price is: $10.59
Day 2, price is: $10.39
Day 3, price is: $10.99
Day 4, price is: $11.22
Day 5, price is: $11.04
Day 6, price is: $12.13
Day 7, price is: $12.07
Day 8, price is: $12.47
Day 9, price is: $13.08
Day 10, price is: $13.00
Day 11, price is: $12.56
Day 12, price is: $12.08
Day 13, price is: $11.81
Day 14, price is: $12.29
Day 15, price is: $11.77
Day 16, price is: $12.13
Day 17, price is: $11.73
Day 18, price is: $11.92
Day 19, price is: $11.42
Day 20, price is: $12.47
Day 21, price is: $12.17
Day 22, price is: $11.73
Day 23, price is: $11.45
Day 24, price is: $12.03
Day 25, price is: $11.79
Day 26, price is: $12.27
Day 27, price is: $12.66
Day 28, price is: $12.60
Day 29, price is: $13.51
Day 30, price is: $14.36
Day 31, price is: $14.04
Day 32, price is: $13.41
Day 33, price is: $13.99
Day 34, price is: $14.73
Day 35, price is: $14.07
Day 36, price is: $14.52
Day 37, price is: $15.05
Day 38, price is: $14.65
Day 39, price is: $14.87
Day 40, price is: $15.85
Day 41, price is: $15.53
Day 42, price is: $14.95
Day 43, price is: $15.65
Day 44, price is: $15.09
Day 45, price is: $14.57
Day 46, price is: $14.07
Day 47, price is: $15.37
Day 48, price is: $16.15
Day 49, price is: $16.54
Day 50, price is: $17.25
Day 51, price is: $18.11
Day 52, price is: $19.39
Day 53, price is: $20.74
Day 54, price is: $20.53
Day 55, price is: $19.73
Day 56, price is: $18.99
Day 57, price is: $20.78
Day 58, price is: $19.85
Day 59, price is: $19.09
Day 60, price is: $20.04
Day 61, price is: $21.36
Day 62, price is: $21.09
Day 63, price is: $22.72
Day 64, price is: $24.97
Day 65, price is: $25.40
Day 66, price is: $26.57
Day 67, price is: $26.63
Day 68, price is: $26.26
Day 69, price is: $26.37
Day 70, price is: $28.78
Day 71, price is: $29.63
Day 72, price is: $32.56
Day 73, price is: $34.15
Day 74, price is: $36.36
Day 75, price is: $35.41
Day 76, price is: $35.31
Day 77, price is: $33.66
Day 78, price is: $36.65
Day 79, price is: $38.32
Day 80, price is: $37.44
Day 81, price is: $41.04
Day 82, price is: $43.31
Day 83, price is: $42.04
Day 84, price is: $41.11
Day 85, price is: $42.77
Day 86, price is: $45.27
Day 87, price is: $44.31
Day 88, price is: $46.86
Day 89, price is: $47.33
Day 90, price is: $49.15
Day 91, price is: $47.03
Day 92, price is: $48.36
Day 93, price is: $48.08
Day 94, price is: $46.06
Day 95, price is: $48.64
Day 96, price is: $50.37
Day 97, price is: $49.66
Day 98, price is: $48.57
Day 99, price is: $53.36
Day 100, price is: $58.63
Day 101, price is: $62.09
Day 102, price is: $59.72
Day 103, price is: $64.35
Day 104, price is: $68.14
Day 105, price is: $67.92
Day 106, price is: $65.37
Day 107, price is: $70.34
Day 108, price is: $69.33
Day 109, price is: $66.35
Day 110, price is: $63.53
Day 111, price is: $67.05
Day 112, price is: $66.35
Day 113, price is: $67.53
Day 114, price is: $68.16
Day 115, price is: $67.49
Day 116, price is: $68.28
Day 117, price is: $70.32
Day 118, price is: $69.07
Day 119, price is: $73.87
Day 120, price is: $71.32
Day 121, price is: $74.68
Day 122, price is: $73.45
Day 123, price is: $72.37
Day 124, price is: $69.61
Day 125, price is: $67.79
Day 126, price is: $73.97
Day 127, price is: $74.41
Day 128, price is: $79.50
Day 129, price is: $77.87
Day 130, price is: $79.50
Day 131, price is: $77.22
Day 132, price is: $76.47
Day 133, price is: $75.94
Day 134, price is: $82.36
Day 135, price is: $79.46
Day 136, price is: $79.28
Day 137, price is: $81.33
Day 138, price is: $77.26
Day 139, price is: $84.62
Day 140, price is: $90.42
Day 141, price is: $87.79
Day 142, price is: $90.62
Day 143, price is: $90.16
Day 144, price is: $92.69
Day 145, price is: $90.68
Day 146, price is: $90.77
Day 147, price is: $90.74
Day 148, price is: $88.42
Day 149, price is: $87.55
Day 150, price is: $85.84
Day 151, price is: $88.15
Day 152, price is: $96.39
Day 153, price is: $94.65
Day 154, price is: $92.00
Day 155, price is: $89.23
Day 156, price is: $94.16
Day 157, price is: $101.78
Day 158, price is: $109.67
Day 159, price is: $108.10
Day 160, price is: $114.87
Day 161, price is: $120.21
Day 162, price is: $126.81
Day 163, price is: $135.84
Day 164, price is: $134.80
Day 165, price is: $131.86
Day 166, price is: $125.88
Day 167, price is: $131.83
Day 168, price is: $133.97
Day 169, price is: $135.17
Day 170, price is: $141.94
Day 171, price is: $137.11
Day 172, price is: $134.99
Day 173, price is: $137.89
Day 174, price is: $147.44
Day 175, price is: $158.21
Day 176, price is: $164.36
Day 177, price is: $171.11
Day 178, price is: $183.03
Day 179, price is: $180.32
Day 180, price is: $178.20
Day 181, price is: $182.06
Day 182, price is: $174.46
Day 183, price is: $170.15
Day 184, price is: $163.50
Day 185, price is: $160.96
Day 186, price is: $162.91
Day 187, price is: $178.28
Day 188, price is: $174.05
Day 189, price is: $175.51
Day 190, price is: $188.77
Day 191, price is: $187.06
Day 192, price is: $185.85
Day 193, price is: $179.11
Day 194, price is: $172.00
Day 195, price is: $177.50
Day 196, price is: $178.52
Day 197, price is: $170.16
Day 198, price is: $179.83
Day 199, price is: $172.19
Day 200, price is: $164.85
Day 201, price is: $164.31
Day 202, price is: $165.70
Day 203, price is: $168.57
Day 204, price is: $168.79
Day 205, price is: $162.99
Day 206, price is: $162.37
Day 207, price is: $159.33
Day 208, price is: $153.11
Day 209, price is: $163.38
Day 210, price is: $171.18
Day 211, price is: $177.84
Day 212, price is: $188.68
Day 213, price is: $185.17
Day 214, price is: $188.29
Day 215, price is: $202.86
Day 216, price is: $200.91
Day 217, price is: $219.28
Day 218, price is: $217.91
Day 219, price is: $215.69
Day 220, price is: $208.83
Day 221, price is: $227.01
Day 222, price is: $232.67
Day 223, price is: $242.85
Day 224, price is: $243.41
Day 225, price is: $265.02
Day 226, price is: $279.84
Day 227, price is: $279.02
Day 228, price is: $289.76
Day 229, price is: $286.72
Day 230, price is: $296.32
Day 231, price is: $288.63
Day 232, price is: $279.19
Day 233, price is: $305.78
Day 234, price is: $330.65
Day 235, price is: $347.95
Day 236, price is: $380.72
Day 237, price is: $383.38
Day 238, price is: $401.91
Day 239, price is: $384.75
Day 240, price is: $389.39
Day 241, price is: $381.85
Day 242, price is: $369.79
Day 243, price is: $375.00
Day 244, price is: $370.25
Day 245, price is: $368.55
Day 246, price is: $395.90
Day 247, price is: $406.57
